Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
PAK,20,586,586,Pakistan,2,30682,29929,31454,30682,34.2,27.5,3.7
PAN,20,591,591,Panama,2,1089,406,2918,1089,41.4,49.0,4.3
PNG,20,598,598,Papua New Guinea,2,1663,1297,2132,1663,46.0,36.6,4.9
PRY,20,600,600,Paraguay,2,2072,1137,3776,2072,58.4,57.6,6.0
PER,20,604,604,Peru,2,7797,5272,11531,7797,39.3,46.0,4.1
PHL,20,608,608,Philippines,2,33079,32248,33932,33079,60.3,59.0,6.5
POL,20,616,616,Poland,2,24418,23159,25745,24418,66.0,125.5,7.2
PRT,20,620,620,Portugal,2,8954,8133,9858,8954,88.8,167.7,9.2
GNB,20,624,624,Guinea-Bissau,2,186,136,254,186,27.2,17.7,2.9
TLS,20,626,626,Timor-Leste,2,131,114,150,131,26.4,19.3,2.8
PRI,20,630,630,Puerto Rico,2,1862,1670,2075,1862,62.3,125.0,6.9
QAT,20,634,634,Qatar,2,248,191,321,248,39.0,33.0,4.3
REU,20,638,638,"France, La Réunion",2,382,377,387,382,55.9,81.5,5.9
ROU,20,642,642,Romania,2,12685,11637,13828,12685,69.2,129.7,7.6
RUS,20,643,643,Russian Federation,2,78839,77641,80055,78839,57.7,100.8,6.4
RWA,20,646,646,Rwanda,2,799,703,908,799,16.2,11.6,1.7
LCA,20,662,662,Saint Lucia,2,66,4,971,66,51.7,70.2,5.0
STP,20,678,678,Sao Tome and Principe,2,16,14,18,16,19.9,14.1,2.3
SAU,20,682,682,Saudi Arabia,2,3777,3534,4037,3777,25.3,24.9,2.7
SEN,20,686,686,Senegal,2,1838,1284,2632,1838,29.9,20.4,3.1
SRB,20,688,688,Serbia,2,4900,4443,5404,4900,60.5,111.0,6.7
SLE,20,694,694,Sierra Leone,2,204,189,220,204,7.0,4.9,0.73
SGP,20,702,702,Singapore,2,3569,3356,3796,3569,72.6,126.0,7.8
SVK,20,703,703,Slovakia,2,3649,3155,4221,3649,67.3,130.3,7.4
VNM,20,704,704,Viet Nam,2,24563,23945,25197,24563,38.0,49.6,4.1
SVN,20,705,705,Slovenia,2,1660,1532,1799,1660,82.3,159.2,8.9
SOM,20,706,706,Somalia,2,1811,1580,2076,1811,38.6,21.4,4.1
ZAF,20,710,710,South Africa,2,14712,13920,15549,14712,47.8,47.7,5.2
ZWE,20,716,716,Zimbabwe,2,1807,1645,1985,1807,35.8,22.6,4.0
ESP,20,724,724,Spain,2,34735,33058,36498,34735,81.0,146.3,8.6
SSD,20,728,728,South Sudan,2,1073,865,1332,1073,28.0,18.5,3.0
