Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
UZB,20,860,860,Uzbekistan,2,2246,2063,2446,2246,13.0,13.0,1.5
VEN,20,862,862,Venezuela,2,2953,2749,3172,2953,16.2,19.9,1.8
WSM,20,882,882,Samoa,2,24,24,24,24,28.1,24.6,3.1
YEM,20,887,887,Yemen,2,1528,1463,1596,1528,14.0,9.9,1.4
ZMB,20,894,894,Zambia,2,507,475,541,507,10.8,5.2,1.2
N.A.,20,900,900,World,2,666103,660000,672262,666103,12.7,17.0,1.4
N.A.,20,903,903,Africa,2,91252,89647,92886,91252,19.2,13.0,2.1
N.A.,20,904,904,Latin America and the Caribbean,2,59876,59156,60605,59876,13.2,17.7,1.4
N.A.,20,905,905,Northern America,2,49744,49238,50255,49744,12.3,26.4,1.3
N.A.,20,906,906,Eastern Asia,2,97389,96409,98379,97389,6.5,12.2,0.71
N.A.,20,908,908,Europe,2,144439,142930,145964,144439,14.6,37.4,1.6
N.A.,20,909,909,Oceania,2,5483,5276,5698,5483,15.4,25.1,1.6
N.A.,20,910,910,Eastern Africa,2,25330,24234,26475,25330,17.6,10.7,1.9
N.A.,20,911,911,Middle Africa,2,9142,8687,9621,9142,16.8,9.6,1.8
N.A.,20,912,912,Northern Africa,2,23186,22402,23998,23186,19.0,18.3,2.0
N.A.,20,913,913,Southern Africa,2,5693,5508,5885,5693,16.6,16.2,1.6
N.A.,20,914,914,Western Africa,2,27901,27118,28707,27901,22.3,13.3,2.4
N.A.,20,915,915,Caribbean,2,5953,5554,6380,5953,18.2,26.7,1.9
N.A.,20,916,916,Central America,2,10670,10384,10963,10670,10.1,11.4,1.1
N.A.,20,920,920,South-Eastern Asia,2,61228,59848,62639,61228,14.9,17.9,1.6
N.A.,20,921,921,South Central Asia,2,135348,133994,136715,135348,13.4,13.5,1.5
N.A.,20,922,922,Western Asia,2,21344,20466,22260,21344,15.1,15.5,1.6
N.A.,20,923,923,Eastern Europe,2,49973,49075,50888,49973,14.4,32.3,1.7
N.A.,20,924,924,Northern Europe,2,18629,18206,19062,18629,13.7,34.4,1.4
N.A.,20,925,925,Southern Europe,2,31450,30706,32212,31450,13.8,40.6,1.5
N.A.,20,926,926,Western Europe,2,44387,43608,45180,44387,15.4,44.4,1.6
N.A.,20,927,927,Australia-New Zealand,2,4152,3997,4313,4152,12.8,26.7,1.4
N.A.,20,928,928,Melanesia,2,1179,1069,1300,1179,26.8,20.9,2.9
N.A.,20,931,931,South America,2,43253,42429,44093,43253,13.8,19.5,1.5
N.A.,20,935,935,Asia,2,315309,312753,317886,315309,10.5,13.9,1.2
N.A.,20,940,940,European Union (27),2,95881,93898,97906,95881,14.9,42.2,1.6
N.A.,20,954,954,Micronesia,2,53,31,92,53,16.7,19.1,1.7
N.A.,20,957,957,Polynesia,2,99,63,155,99,25.3,29.0,2.6
N.A.,20,963,963,Sub-Saharan Africa,2,68066,66867,69286,68066,19.2,11.8,2.1
N.A.,20,964,964,Micronesia/Polynesia,2,152,107,217,152,21.5,24.6,2.2
N.A.,20,971,971,Sub-Saharan Africa Hub,2,68036,65641,70518,68036,19.2,11.8,2.1
N.A.,20,972,972,Caribbean hub,2,1352,1196,1529,1352,25.7,35.9,2.7
N.A.,20,973,973,Latin America Hub,2,57498,56299,58722,57498,13.0,17.6,1.4
N.A.,20,974,974,"South, East and South-Eastern Asia Hub",2,289107,286012,292236,289107,10.2,13.8,1.1
N.A.,20,975,975,"Northern Africa, Central and Western Asia Hub",2,49178,47331,51097,49178,16.3,16.3,1.7
N.A.,20,976,976,Pacific Islands Hub,2,1192,1081,1315,1192,27.2,20.9,2.9
N.A.,20,981,981,Very HDI country,2,245043,241022,249131,245043,13.2,29.5,1.4
N.A.,20,982,982,High HDI country,2,195347,193005,197718,195347,9.5,14.3,1.0
N.A.,20,983,983,Medium HDI country,2,153835,152189,155499,153835,14.0,13.9,1.6
N.A.,20,984,984,Low HDI country,2,71458,69305,73678,71458,19.0,11.9,2.1
N.A.,20,985,985,High HDI country (but China),2,120361,117774,123005,120361,14.3,17.7,1.6
N.A.,20,986,986,Medium HDI country (but India),2,55498,53263,57827,55498,14.3,12.8,1.6
N.A.,20,987,987,High income,2,187255,184412,190142,187255,12.8,31.5,1.4
N.A.,20,988,988,Upper middle income,2,192619,190417,194847,192619,9.3,15.2,1.0
N.A.,20,989,989,Lower middle income,2,244361,241339,247420,244361,14.9,14.6,1.7
N.A.,20,990,990,Low income,2,38234,36458,40097,38234,16.8,10.9,1.8
N.A.,20,991,991,WHO Africa region (AFRO),2,71662,69149,74267,71662,19.2,12.1,2.1
N.A.,20,992,992,WHO Americas region (PAHO),2,109428,107813,111067,109428,13.0,20.8,1.4
N.A.,20,993,993,WHO East Mediterranean region (EMRO),2,52836,51273,54446,52836,17.2,14.4,1.9
N.A.,20,994,994,WHO Europe region (EURO),2,160043,156761,163393,160043,14.5,33.2,1.6
N.A.,20,995,995,WHO South-East Asia region (SEARO),2,142986,141543,144444,142986,13.0,14.2,1.5
N.A.,20,996,996,WHO Western Pacific region (WPRO),2,128728,127337,130134,128728,7.8,13.7,0.84
,,,,Total,,5414404,,,5414404,12.8,16.7,1.4
